house_number,addition,street
17,,Hügelweg
71,,Florastraße
75,,Florastraße
14,,Hugstraße
15,,Hugstraße
16,,Hugstraße
16,c,Hugstraße
18,,Hugstraße
18,a,Hugstraße
18,b,Hugstraße
19,,Hugstraße
20,,Hugstraße
21,,Hugstraße
22,,Hugstraße
21,a,Hugstraße
23,,Hugstraße
22,a,Hugstraße
23,a,Hugstraße
23,b,Hugstraße
15,,Hügelweg
3,,Breiter Weg
4,,Breiter Weg
5,,Breiter Weg
6,,Breiter Weg
7,,Breiter Weg
8,,Breiter Weg
9,,Breiter Weg
23,c,Hugstraße
10,,Breiter Weg
12,,Breiter Weg
13,,Breiter Weg
14,,Breiter Weg
15,,Breiter Weg
16,,Breiter Weg
17,,Breiter Weg
18,,Breiter Weg
19,,Breiter Weg
8,,Grüner Weg
23,d,Hugstraße
10,,Grüner Weg
11,,Grüner Weg
23,e,Hugstraße
12,,Hugstraße
12,,Grüner Weg
13,,Grüner Weg
11,,Hugstraße
23,f,Hugstraße
23,g,Hugstraße
13,,Hugstraße
19,,Hügelweg
20,,Hügelweg
21,,Hügelweg
23,h,Hugstraße
23,i,Hugstraße
22,,Hügelweg
23,,Hügelweg
24,,Hügelweg
25,,Hügelweg
24,a,Hugstraße
25,a,Hügelweg
24,,Hugstraße
26,,Hügelweg
27,,Hügelweg
27,a,Hügelweg
28,,Hügelweg
29,,Hügelweg
25,,Hugstraße
26,a,Hugstraße
26,,Hugstraße
30,,Hügelweg
30,a,Hügelweg
26,b,Hugstraße
31,,Hügelweg
27,c,Hugstraße
32,,Hügelweg
26,c,Hugstraße
33,,Hügelweg
34,,Hügelweg
27,,Hugstraße
34,a,Hügelweg
27,a,Hugstraße
27,b,Hugstraße
28,,Hugstraße
35,,Hügelweg
28,a,Hugstraße
28,b,Hugstraße
36,,Hügelweg
37,,Hügelweg
38,,Hügelweg
40,,Hügelweg
29,,Hugstraße
41,,Hügelweg
29,a,Hugstraße
42,,Hügelweg
30,,Hugstraße
43,,Hügelweg
44,,Hügelweg
31,,Hugstraße
32,,Hugstraße
45,,Hügelweg
46,,Hügelweg
47,,Hügelweg
33,,Hugstraße
34,,Hugstraße
48,,Hügelweg
49,,Hügelweg
50,,Hügelweg
51,,Hügelweg
52,,Hügelweg
53,,Hügelweg
1,,Hügelweg
54,,Hügelweg
1,a,Hügelweg
55,,Hügelweg
56,,Hügelweg
58,,Hügelweg
2,,Hügelweg
60,,Hügelweg
64,,Hügelweg
66,,Hügelweg
68,,Hügelweg
3,,Hügelweg
70,,Hügelweg
12,,Pomonaring
70,a,Hügelweg
17,,Pomonaring
10,,Florastraße
